,x_train,y_train
0,-6.265958,-3918.2053
1,-8.706585,-5259.8657
2,-8.741724,-5044.836
3,-9.493834,-5398.4966
4,-9.416787,-4587.1895
5,-8.589733,-4455.9463
6,-8.648636,-5229.638
7,-8.951019,-5168.1074
8,-9.321278,-6072.577
9,-7.1359715,-3987.7852
10,-6.919691,-3358.421
11,-6.4045286,-4311.272
12,-8.979202,-5006.0254
13,-9.114249,-5376.826
14,-6.250333,-3754.4011
15,-8.271856,-4520.491
16,-7.7959213,-3315.617
17,-7.843269,-4534.232
18,-7.03974,-4382.0244
19,-7.9861965,-4097.1973
20,-8.484173,-5113.292
21,-6.073144,-3667.6133
22,-8.213988,-5139.354
23,-8.824895,-4871.855
24,-8.8610115,-5464.782
25,-8.786119,-4984.8105
26,-9.370549,-4661.683
27,-8.130145,-4392.891
28,-7.0625916,-3609.532
29,-7.4866095,-5548.8667
30,-7.742504,-3712.2007
31,-8.960125,-5182.5522
32,-8.411432,-4264.8755
33,7.883586,-2283.0356
34,9.74044,-3556.92
35,9.909934,-3450.7234
36,8.267065,-2351.8252
37,9.339891,-4036.1587
38,6.7001896,-2063.7412
39,6.5119267,-1939.86
40,9.416801,-3064.7095
41,8.793033,-3329.9856
42,8.992339,-2916.4402
43,9.859293,-3883.7073
44,6.230682,-1731.9402
45,7.1832576,-2788.8628
46,7.5740023,-2198.3455
47,6.968601,-1936.5579
48,7.7148685,-2971.348
49,7.9196196,-2303.0906
50,6.5145836,-2907.225
51,9.075437,-3306.5303
52,7.488332,-2216.1929
53,8.62225,-3618.83
54,6.0444775,-1560.9006
55,7.5132732,-2403.8093
56,9.218375,-3768.5134
57,7.950943,-1662.5316
58,7.0841227,-1733.998
59,6.3867426,-1324.5134
60,6.709406,-1745.1157
61,9.792609,-3404.1013
62,6.0957355,-2301.8318
63,9.824411,-3568.078
64,9.71165,-3303.8481
65,8.453039,-2682.4163
66,17.309277,-6392.1313
67,14.191039,-4783.8076
68,16.986376,-5501.5425
69,17.589813,-6060.807
70,14.958946,-5205.8594
71,17.432829,-5506.9526
72,17.560047,-6389.128
73,16.388958,-4781.39
74,16.518673,-5625.994
75,15.46832,-6058.3574
76,15.196329,-5191.502
77,15.062958,-4643.001
78,14.828135,-4650.058
79,17.412323,-5859.0127
80,15.4404125,-5757.5444
81,16.256315,-6020.4756
82,14.020214,-4894.588
83,17.389133,-5447.6826
84,15.488728,-5276.8325
85,17.590282,-6565.6606
86,16.914211,-5796.1396
87,15.722847,-6103.903
88,17.46915,-5891.8403
89,17.575716,-5579.6196
90,14.953232,-4632.0728
91,14.238785,-4372.8447
92,14.052284,-4717.936
93,14.639046,-5283.789
94,16.180134,-5421.3306
95,14.380455,-5275.206
96,17.523596,-5924.75
97,15.914674,-5598.9346
98,15.234388,-5987.5015
99,14.335703,-5020.676
